T,FK-3kW,FX-400,FX-1000
452,0.208,0.175,0.2717395
453,0.2895,0.2015625,0.3282605
454,0.2895,0.2015625,0.3282605
455,0.2895,0.2015625,0.3282605
456,0.2895,0.2015625,0.3282605
457,0.2895,0.1875,0.3
458,0.2895,0.1875,0.3
459,0.2895,0.1875,0.3
460,0.2895,0.2015625,0.3282605
461,0.2895,0.2015625,0.3282605
462,0.2895,0.2015625,0.3565215
463,0.2895,0.215625,0.3847825
464,0.3715,0.215625,0.3847825
465,0.3715,0.215625,0.3847825
466,0.3715,0.228125,0.4173915
467,0.3715,0.228125,0.4478265
468,0.4705,0.2414065,0.4978265
469,0.4705,0.25625,0.5673915
470,0.4705,0.270312,0.5673915
471,0.4705,0.270312,0.5673915
472,0.4705,0.270312,0.5673915
473,0.6275,0.270312,0.5956525
474,0.4705,0.270312,0.5673915
475,0.4705,0.25625,0.5673915
476,0.4705,0.25625,0.5673915
477,0.6275,0.282812,0.626087
478,0.6275,0.2960935,0.6608695
479,0.815,0.3125,0.726087
480,0.992,0.3414065,0.8195655
481,0.992,0.3539065,0.85
482,0.992,0.3539065,0.85
483,1.1965,0.364844,0.85
484,1.1965,0.364844,0.85
485,0.992,0.3539065,0.85
486,0.992,0.3539065,0.85
487,0.992,0.3539065,0.8195655
488,0.992,0.3539065,0.85
489,0.992,0.3539065,0.8195655
490,0.992,0.3539065,0.8195655
491,0.992,0.3414065,0.8195655
492,0.992,0.3414065,0.7869565
493,0.815,0.3289065,0.7565215
494,0.815,0.3125,0.726087
495,0.815,0.3125,0.726087
496,0.6275,0.3125,0.6934785
497,0.6275,0.2960935,0.6608695
498,0.6275,0.282812,0.6608695
499,0.6275,0.270312,0.5956525
500,0.6275,0.270312,0.5956525
501,0.6275,0.270312,0.5956525
502,0.6275,0.282812,0.626087
503,0.6275,0.282812,0.6608695
504,0.6275,0.282812,0.6608695
505,0.6275,0.2960935,0.6608695
506,0.815,0.3125,0.726087
507,0.815,0.3289065,0.7565215
508,0.992,0.3414065,0.7869565
509,0.992,0.3539065,0.85
510,1.1965,0.374219,0.873913
511,1.3975,0.382813,0.9
512,1.3975,0.382813,0.9152175
513,1.5305,0.389063,0.926087
514,1.5305,0.389063,0.926087
515,1.3975,0.382813,0.9152175
516,1.3975,0.382813,0.9152175
517,1.3975,0.382813,0.9
518,1.1965,0.374219,0.873913
519,0.992,0.3539065,0.85
520,0.992,0.3539065,0.85
521,0.992,0.3539065,0.85
522,0.992,0.3539065,0.8195655
523,0.992,0.3539065,0.85
524,0.992,0.3539065,0.85
525,0.992,0.3539065,0.8195655
526,0.992,0.3414065,0.8195655
527,0.992,0.3414065,0.7869565
528,0.992,0.3414065,0.8195655
529,0.992,0.3539065,0.8195655
530,0.992,0.3539065,0.8195655
531,0.992,0.3539065,0.85
532,1.1965,0.364844,0.85
533,1.1965,0.374219,0.873913
534,1.1965,0.374219,0.873913
