T,Sunergy-370W,Luxen-450W
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0.00701274,0.008537079
585,0.08554869,0.104362705
586,0.173659969,0.212385803
587,0.243821113,0.298869462
588,0.295771372,0.363231531
589,0.324520352,0.399031954
590,0.32934981,0.405103387
591,0.310515273,0.38170602
592,0.263277351,0.323081772
593,0.193773191,0.237211257
594,0.140793933,0.172060209
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0.006984107,0.008500869
609,0.029209531,0.035574128
610,0.085142566,0.103861675
611,0.23257146,0.285045824
612,0.295116344,0.362568959
613,0.323025802,0.397397038
614,0.327074486,0.402561094
615,0.308444157,0.379384345
616,0.267992312,0.329065783
617,0.20777949,0.254554948
618,0.131393538,0.160549611
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0.007473082,0.009096661
633,0.08671239,0.105801576
634,0.173250029,0.212018536
635,0.231368677,0.283789757
636,0.292747829,0.36007976
637,0.291486289,0.358582376
638,0.320220455,0.394555544
639,0.269866643,0.331793732
640,0.267203524,0.328504598
641,0.208536007,0.255751211
642,0.140593564,0.171964361
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0.00797073,0.00970114
657,0.087315023,0.106542316
658,0.173912288,0.21286021
659,0.243502035,0.29884688
660,0.29334798,0.360738863
661,0.321175426,0.395420381
662,0.296654076,0.364807604
663,0.278189476,0.341813652
664,0.26124665,0.320736271
665,0.081070307,0.098892446
666,0.135415814,0.165475527
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0.007934141,0.009655324
681,0.088515347,0.107990486
682,0.175352876,0.214604198
683,0.246658879,0.30276182
684,0.297434432,0.365912107
685,0.326117051,0.401723495
686,0.331780529,0.408799548
687,0.314428372,0.387075541
688,0.275055857,0.337954982
689,0.214078577,0.26238228
690,0.144725642,0.176923091
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0.008399024,0.010222702
705,0.091670591,0.111847348
706,0.179981645,0.220247982
707,0.252079842,0.309303958
708,0.303489353,0.373187498
709,0.331693371,0.408419864
710,0.336374169,0.414269351
711,0.318487818,0.391911733
712,0.277251836,0.340602333
713,0.216864181,0.2657903
714,0.146780655,0.179447779
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0.00627728,0.007638289
729,0.070492599,0.08594195
730,0.179527255,0.219657744
731,0.250117166,0.306856523
732,0.300069239,0.368893755
733,0.307447142,0.378050016
734,0.321570969,0.395616789
735,0.307026717,0.377444452
736,0.277555098,0.340765279
737,0.217619123,0.266595246
738,0.146815752,0.179436485
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0.007760798,0.009448075
753,0.088888778,0.108472424
754,0.176614045,0.216170784
755,0.246832978,0.302912413
756,0.297751479,0.366205071
757,0.319241113,0.393040946
758,0.331162983,0.407949891
759,0.313141573,0.385382834
760,0.273421888,0.335866622
761,0.213284006,0.261343914
762,0.143339281,0.175198835
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0.0082365,0.010026034
777,0.089640611,0.109372082
778,0.17770376,0.21742378
779,0.248335614,0.304609177
780,0.299597892,0.36822302
781,0.327891773,0.403544758
782,0.310368106,0.381750594
783,0.306402173,0.376840304
784,0.274031974,0.336620472
785,0.213245354,0.261332773
786,0.143251794,0.17511625
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0.008706842,0.010597319
801,0.091205174,0.111267307
802,0.180460201,0.220755487
803,0.253927911,0.311382154
804,0.305558365,0.375437867
805,0.316784895,0.389499394
806,0.338815089,0.417049226
