T,Sunergy-370W,Luxen-450W
690,0.023062958,0.028186327
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0.088536066,0.108177908
705,0.167315683,0.205228063
706,0.232637012,0.28651659
707,0.279295245,0.345288597
708,0.284301475,0.351999783
709,0.267917647,0.331623813
710,0.271855244,0.336687726
711,0.233953951,0.289109784
712,0.191079638,0.235509737
713,0.108238311,0.132827599
714,0.032034808,0.039152621
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0.077677206,0.094852718
729,0.173279488,0.212555814
730,0.238001707,0.293123117
731,0.27976174,0.345725856
732,0.303096981,0.375549009
733,0.305512509,0.378979263
734,0.289404887,0.358780489
735,0.252522677,0.312379121
736,0.196308441,0.242019582
737,0.122823957,0.150816649
738,0.040850565,0.049942291
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0.069763932,0.085123467
753,0.15875127,0.194538952
754,0.217821417,0.267919593
755,0.281213578,0.347429507
756,0.289886853,0.358720576
757,0.27577494,0.341256218
758,0.279078152,0.345530892
759,0.248332787,0.306921736
760,0.19703376,0.242790863
761,0.110226938,0.135212692
762,0.027515826,0.033612343
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0.071695412,0.087475537
777,0.157142956,0.192559203
778,0.22463297,0.276441909
779,0.271367227,0.335214094
780,0.284539935,0.352233881
781,0.273797885,0.339022111
782,0.259756691,0.321501332
783,0.19963171,0.246255232
784,0.168594277,0.207557196
785,0.102449009,0.125663323
786,0.031474622,0.038456898
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0.049333921,0.060174227
801,0.116524995,0.142603153
802,0.228628337,0.281452699
803,0.279560123,0.345470945
804,0.291463686,0.360863361
805,0.30404395,0.377152658
806,0.247845088,0.306521522
807,0.173525095,0.213713165
808,0.171140277,0.210703534
809,0.118567399,0.145516498
810,0.03143304,0.038401108
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0.075787756,0.092529525
825,0.168823159,0.207033506
826,0.207518747,0.255192545
827,0.135824406,0.166701492
828,0.220100112,0.271500672
829,0.115709967,0.142114078
830,0.108156837,0.13283637
831,0.183906764,0.226703344
832,0.095942531,0.11771361
833,0.08123762,0.099559062
834,0.020807718,0.025414964
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0.093201108,0.113938891
849,0.172956916,0.21235081
850,0.238037615,0.293543084
851,0.28271903,0.349951626
852,0.305966215,0.379675281
853,0.309068006,0.383857818
